A_WEBC_URL	STATE	ICS_SCC	ICS_LOBS
2014/I_AB_1517_R_1.html	CA	010-All/unspecified lines	Commercial P&C
2014/I_AB_1517_R_1.html	CA	960-Federal Law citations	
2014/I_AB_1517_R_1.html	CA	065-Health service corporations	Life
2014/I_AB_1517_R_1.html	CA	080-Group insurance (all lines)	Personal P&C
2014/I_AB_1517_R_1.html	CA	125-Professional liability insurance / insurers	
2014/I_AB_1517_R_1.html	CA	160-Workers compensation insurance / insurers	
2014/I_AB_1517_R_1.html	CA	240-Suretyship	
2014/I_AB_1517_R_1.html	CA	300-The policy	
2014/I_AB_1517_R_1.html	CA	360-Filing and reporting requirements	
2014/I_AB_1517_R_1.html	CA	450-Other representatives	
2014/I_AB_1517_R_1.html	CA	500-Corporate organization and governance	
2014/I_AB_1517_R_1.html	CA	540-Securities	
2014/I_AB_1517_R_1.html	CA	560-Finance and investments	
2014/I_AB_1517_R_1.html	CA	580-Fees and taxes	
2014/I_AB_1517_R_1.html	CA	620-Financial institutions	
2014/I_AB_1517_R_1.html	CA	640-General business / corporation law	
2014/I_AB_1517_R_1.html	CA	700-Trade practices	
2014/I_AB_1517_R_1.html	CA	720-Information practices	
2014/I_AB_1517_R_1.html	CA	800-Legal procedure / proceedings	
2014/I_AB_1517_R_1.html	CA	840-Government agencies	
2014/I_AB_1517_R_1.html	CA	060-Health insurance / insurers	Health
2014/I_HB_1081.html	IL	300-The policy	Personal P&C
2014/I_HB_1081.html	IL	840-Government agencies	
2014/I_HB_1081.html	IL	140-Automobile insurance / insurers	Commercial P&C
2014/I_HB_1082.html	IL	840-Government agencies	
2014/I_HB_1082.html	IL	140-Automobile insurance / insurers	Personal P&C
2014/I_HB_1082.html	IL	580-Fees and taxes	
2014/I_HB_1082.html	IL	800-Legal procedure / proceedings	
2014/I_HB_1082.html	IL	001-Technical corrections	Commercial P&C
2014/I_HB_1086.html	IL	140-Automobile insurance / insurers	Personal P&C
2014/I_HB_1086.html	IL	001-Technical corrections	Commercial P&C
2014/I_HB_1087.html	IL	140-Automobile insurance / insurers	Personal P&C
2014/I_HB_1087.html	IL	001-Technical corrections	Commercial P&C
2014/I_HB_1094.html	IL	840-Government agencies	
2014/I_HB_1094.html	IL	800-Legal procedure / proceedings	
2014/I_HB_1094.html	IL	300-The policy	
2014/I_HB_1094.html	IL	290-Self insurance / insurers	
2014/I_HB_1094.html	IL	140-Automobile insurance / insurers	Personal P&C
2014/I_HB_1094.html	IL	001-Technical corrections	Commercial P&C
2014/I_HB_1095.html	IL	140-Automobile insurance / insurers	Personal P&C
2014/I_HB_1095.html	IL	001-Technical corrections	Commercial P&C
2014/I_HB_1095.html	IL	720-Information practices	
2014/I_HB_1095.html	IL	300-The policy	
2014/I_HB_1111.html	IL	060-Health insurance / insurers	
2014/I_HB_1111.html	IL	080-Group insurance (all lines)	
2014/I_HB_1111.html	IL	065-Health service corporations	
2014/I_HB_1111.html	IL	001-Technical corrections	Health
2014/I_HB_1112.html	IL	010-All/unspecified lines	Health
2014/I_HB_1112.html	IL	940-Model Laws	Personal P&C
2014/I_HB_1112.html	IL	800-Legal procedure / proceedings	Life
2014/I_HB_1112.html	IL	001-Technical corrections	Commercial P&C
2014/I_HB_1121.html	IL	010-All/unspecified lines	Commercial P&C
2014/I_HB_1121.html	IL	800-Legal procedure / proceedings	Health
2014/I_HB_1121.html	IL	840-Government agencies	Life
2014/I_HB_1193.html	IL	001-Technical corrections	Commercial P&C
2014/I_HB_1193.html	IL	010-All/unspecified lines	Health
2014/I_HB_1193.html	IL	840-Government agencies	Personal P&C
2014/I_HB_1193.html	IL	800-Legal procedure / proceedings	Life
2014/I_HB_1195.html	IL	001-Technical corrections	Commercial P&C
2014/I_HB_1195.html	IL	800-Legal procedure / proceedings	
2014/I_HB_1195.html	IL	125-Professional liability insurance / insurers	
2014/I_HB_1199.html	IL	001-Technical corrections	Commercial P&C
2014/I_HB_1199.html	IL	010-All/unspecified lines	Health
2014/I_HB_1199.html	IL	580-Fees and taxes	Life
2014/I_HB_1199.html	IL	720-Information practices	Personal P&C
2014/I_HB_1199.html	IL	800-Legal procedure / proceedings	
2014/I_HB_1228.html	IL	800-Legal procedure / proceedings	
2014/I_HB_1228.html	IL	840-Government agencies	
2014/I_HB_1228.html	IL	120-Casualty and liability insurance / insurers	
2014/I_HB_1228.html	IL	001-Technical corrections	Commercial P&C
2014/I_HB_1229.html	IL	840-Government agencies	
2014/I_HB_1229.html	IL	800-Legal procedure / proceedings	
2014/I_HB_1229.html	IL	120-Casualty and liability insurance / insurers	
2014/I_HB_1229.html	IL	001-Technical corrections	Commercial P&C
2014/I_HB_4959.html	US	010-All/unspecified lines	Commercial P&C
2014/I_HB_4959.html	US	800-Legal procedure / proceedings	Health
2014/I_HB_4959.html	US	840-Government agencies	Life
2014/I_HB_4959.html	US	960-Federal Law citations	Personal P&C
2014/I_HB_499.html	IL	300-The policy	
2014/I_HB_499.html	IL	080-Group insurance (all lines)	
2014/I_HB_499.html	IL	060-Health insurance / insurers	Health
2014/I_HB_499.html	IL	065-Health service corporations	
2014/I_HB_533.html	IL	840-Government agencies	Personal P&C
2014/I_HB_533.html	IL	800-Legal procedure / proceedings	Life
2014/I_HB_533.html	IL	010-All/unspecified lines	Health
2014/I_HB_533.html	IL	001-Technical corrections	Commercial P&C
2014/I_HB_533.html	IL	940-Model Laws	
2014/I_SB_2424.html	MA	010-All/unspecified lines	Commercial P&C
2014/I_SB_2424.html	MA	060-Health insurance / insurers	Health
2014/I_SB_2424.html	MA	065-Health service corporations	Life
2014/I_SB_2424.html	MA	080-Group insurance (all lines)	Personal P&C
2014/I_SB_2424.html	MA	140-Automobile insurance / insurers	
2014/I_SB_2424.html	MA	960-Federal Law citations	
2014/I_SB_2424.html	MA	300-The policy	
2014/I_SB_2424.html	MA	360-Filing and reporting requirements	
2014/I_SB_2424.html	MA	560-Finance and investments	
2014/I_SB_2424.html	MA	720-Information practices	
2014/I_SB_2424.html	MA	840-Government agencies	
2014/I_SB_2424.html	MA	160-Workers compensation insurance / insurers	
2015/E_AZ_SB_1338.htm	AZ	560-Finance and investments	
2015/E_AZ_SB_1338.htm	AZ	520-Acquisition of control	
