word	frequency	category
section	25207	010-All or unspecified lines
state	12921	010-All or unspecified lines
may	9812	010-All or unspecified lines
tax	9580	010-All or unspecified lines
person	9515	010-All or unspecified lines
act	8728	010-All or unspecified lines
provide	8192	010-All or unspecified lines
use	6973	010-All or unspecified lines
amount	6850	010-All or unspecified lines
law	6175	010-All or unspecified lines
include	6072	010-All or unspecified lines
service	5942	010-All or unspecified lines
subsection	5917	010-All or unspecified lines
order	5623	010-All or unspecified lines
amend	5537	010-All or unspecified lines
follow	5217	010-All or unspecified lines
department	5126	010-All or unspecified lines
property	5038	010-All or unspecified lines
make	5018	010-All or unspecified lines
income	4885	010-All or unspecified lines
pursuant	4846	010-All or unspecified lines
mean	4720	010-All or unspecified lines
code	4700	010-All or unspecified lines
credit	4626	010-All or unspecified lines
require	4587	010-All or unspecified lines
court	4490	010-All or unspecified lines
chapter	4425	010-All or unspecified lines
purpose	4165	010-All or unspecified lines
business	3980	010-All or unspecified lines
fund	3867	010-All or unspecified lines
public	3848	010-All or unspecified lines
provision	3841	010-All or unspecified lines
sale	3814	010-All or unspecified lines
subdivision	3600	010-All or unspecified lines
date	3596	010-All or unspecified lines
taxable	3589	010-All or unspecified lines
pay	3563	010-All or unspecified lines
agency	3544	010-All or unspecified lines
paragraph	3519	010-All or unspecified lines
license	3500	010-All or unspecified lines
file	3416	010-All or unspecified lines
information	3394	010-All or unspecified lines
child	3393	010-All or unspecified lines
board	3368	010-All or unspecified lines
member	3241	010-All or unspecified lines
support	3236	010-All or unspecified lines
within	3208	010-All or unspecified lines
district	2946	010-All or unspecified lines
year	2943	010-All or unspecified lines
issue	2908	010-All or unspecified lines
one	2894	010-All or unspecified lines
sec	2885	010-All or unspecified lines
day	2877	010-All or unspecified lines
upon	2874	010-All or unspecified lines
company	2871	010-All or unspecified lines
title	2852	010-All or unspecified lines
record	2792	010-All or unspecified lines
revenue	2780	010-All or unspecified lines
read	2749	010-All or unspecified lines
report	2735	010-All or unspecified lines
taxpayer	2734	010-All or unspecified lines
individual	2683	010-All or unspecified lines
plan	2667	010-All or unspecified lines
time	2634	010-All or unspecified lines
school	2619	010-All or unspecified lines
receive	2599	010-All or unspecified lines
federal	2589	010-All or unspecified lines
apply	2566	010-All or unspecified lines
limit	2555	010-All or unspecified lines
rule	2525	010-All or unspecified lines
authority	2493	010-All or unspecified lines
subject	2492	010-All or unspecified lines
determine	2483	010-All or unspecified lines
interest	2479	010-All or unspecified lines
fee	2475	010-All or unspecified lines
relate	2468	010-All or unspecified lines
commission	2465	010-All or unspecified lines
corporation	2447	010-All or unspecified lines
program	2425	010-All or unspecified lines
general	2420	010-All or unspecified lines
define	2401	010-All or unspecified lines
commissioner	2314	010-All or unspecified lines
term	2308	010-All or unspecified lines
must	2286	010-All or unspecified lines
notice	2250	010-All or unspecified lines
insurance	2228	010-All or unspecified lines
payment	2225	010-All or unspecified lines
qualify	2219	010-All or unspecified lines
employee	2191	010-All or unspecified lines
part	2187	010-All or unspecified lines
county	2177	010-All or unspecified lines
facility	2161	010-All or unspecified lines
party	2150	010-All or unspecified lines
request	2098	010-All or unspecified lines
establish	2071	010-All or unspecified lines
except	2068	010-All or unspecified lines
case	2065	010-All or unspecified lines
new	2064	010-All or unspecified lines
entity	2031	010-All or unspecified lines
article	1993	010-All or unspecified lines
personal	1981	010-All or unspecified lines
health	1966	010-All or unspecified lines
states	1928	010-All or unspecified lines
action	1923	010-All or unspecified lines
cost	1917	010-All or unspecified lines
period	1898	010-All or unspecified lines
director	1894	010-All or unspecified lines
project	1877	010-All or unspecified lines
agreement	1846	010-All or unspecified lines
liability	1843	010-All or unspecified lines
ofthe	1828	010-All or unspecified lines
otherwise	1820	010-All or unspecified lines
authorize	1815	010-All or unspecified lines
take	1797	010-All or unspecified lines
application	1772	010-All or unspecified lines
allow	1756	010-All or unspecified lines
united	1746	010-All or unspecified lines
care	1732	010-All or unspecified lines
impose	1731	010-All or unspecified lines
proceed	1691	010-All or unspecified lines
office	1690	010-All or unspecified lines
effective	1689	010-All or unspecified lines
officer	1686	010-All or unspecified lines
place	1674	010-All or unspecified lines
