word,frequency,category
member,148,010-All or unspecified lines
income,147,010-All or unspecified lines
section,140,010-All or unspecified lines
group,114,010-All or unspecified lines
state,114,010-All or unspecified lines
tax,95,010-All or unspecified lines
alabama,85,010-All or unspecified lines
board,84,010-All or unspecified lines
file,75,010-All or unspecified lines
include,74,010-All or unspecified lines
return,70,010-All or unspecified lines
sec,68,010-All or unspecified lines
school,65,010-All or unspecified lines
business,63,010-All or unspecified lines
corporation,63,010-All or unspecified lines
provide,62,010-All or unspecified lines
may,60,010-All or unspecified lines
taxpayer,60,010-All or unspecified lines
report,59,010-All or unspecified lines
combine,54,010-All or unspecified lines
amend,52,010-All or unspecified lines
person,52,010-All or unspecified lines
loss,50,010-All or unspecified lines
require,49,010-All or unspecified lines
read,47,010-All or unspecified lines
taxable,47,010-All or unspecified lines
department,47,010-All or unspecified lines
affiliate,45,010-All or unspecified lines
alaska,44,010-All or unspecified lines
election,41,010-All or unspecified lines
act,41,010-All or unspecified lines
relate,39,010-All or unspecified lines
chapter,38,010-All or unspecified lines
regulation,37,010-All or unspecified lines
law,36,010-All or unspecified lines
consolidate,36,010-All or unspecified lines
district,36,010-All or unspecified lines
control,36,010-All or unspecified lines
mean,33,010-All or unspecified lines
agency,33,010-All or unspecified lines
subject,31,010-All or unspecified lines
make,30,010-All or unspecified lines
period,30,010-All or unspecified lines
determine,30,010-All or unspecified lines
entity,28,010-All or unspecified lines
fiscal,28,010-All or unspecified lines
care,70,060-Health insurance  or  insurers
provider,66,060-Health insurance  or  insurers
section,55,060-Health insurance  or  insurers
medical,48,060-Health insurance  or  insurers
health,46,060-Health insurance  or  insurers
act,46,060-Health insurance  or  insurers
service,44,060-Health insurance  or  insurers
patient,39,060-Health insurance  or  insurers
hospital,37,060-Health insurance  or  insurers
record,35,060-Health insurance  or  insurers
vision,34,060-Health insurance  or  insurers
plan,31,060-Health insurance  or  insurers
provide,28,060-Health insurance  or  insurers
alabama,27,060-Health insurance  or  insurers
product,26,060-Health insurance  or  insurers
drug,24,060-Health insurance  or  insurers
follow,23,060-Health insurance  or  insurers
use,23,060-Health insurance  or  insurers
device,23,060-Health insurance  or  insurers
arkansas,845,065-Health service corporations
state,545,065-Health service corporations
authority,522,065-Health service corporations
section,500,065-Health service corporations
division,369,065-Health service corporations
department,355,065-Health service corporations
health,335,065-Health service corporations
fund,316,065-Health service corporations
may,286,065-Health service corporations
commission,282,065-Health service corporations
care,274,065-Health service corporations
service,259,065-Health service corporations
development,250,065-Health service corporations
director,247,065-Health service corporations
follow,225,065-Health service corporations
administration,224,065-Health service corporations
technology,185,065-Health service corporations
provide,183,065-Health service corporations
agency,181,065-Health service corporations
board,179,065-Health service corporations
amend,176,065-Health service corporations
code,175,065-Health service corporations
read,167,065-Health service corporations
economic,163,065-Health service corporations
building,161,065-Health service corporations
science,155,065-Health service corporations
program,148,065-Health service corporations
act,137,065-Health service corporations
facility,136,065-Health service corporations
finance,136,065-Health service corporations
include,131,065-Health service corporations
payment,129,065-Health service corporations
arizona,126,065-Health service corporations
research,125,065-Health service corporations
public,123,065-Health service corporations
hospital,119,065-Health service corporations
insurance,115,065-Health service corporations
person,113,065-Health service corporations
contract,113,065-Health service corporations
use,110,065-Health service corporations
pursuant,109,065-Health service corporations
purpose,108,065-Health service corporations
amount,108,065-Health service corporations
system,108,065-Health service corporations
establish,103,065-Health service corporations
make,101,065-Health service corporations
concern,99,065-Health service corporations
plan,96,065-Health service corporations
executive,95,065-Health service corporations
cost,94,065-Health service corporations
information,92,065-Health service corporations
pay,91,065-Health service corporations
build,90,065-Health service corporations
member,88,065-Health service corporations
general,86,065-Health service corporations
county,85,065-Health service corporations
subsection,85,065-Health service corporations
federal,83,065-Health service corporations
provider,83,065-Health service corporations
education,81,065-Health service corporations
council,78,065-Health service corporations
necessary,78,065-Health service corporations
require,77,065-Health service corporations
determine,77,065-Health service corporations
land,77,065-Health service corporations
authorize,76,065-Health service corporations
services,75,065-Health service corporations
chapter,74,065-Health service corporations
committee,74,065-Health service corporations
appropriation,73,065-Health service corporations
fiscal,72,065-Health service corporations
apply,72,065-Health service corporations
receive,70,065-Health service corporations
rural,70,065-Health service corporations
law,69,065-Health service corporations
lease,68,065-Health service corporations
one,67,065-Health service corporations
project,65,065-Health service corporations
university,64,065-Health service corporations
property,63,065-Health service corporations
construction,63,065-Health service corporations
mean,62,065-Health service corporations
grant,62,065-Health service corporations
capital,62,065-Health service corporations
provision,61,065-Health service corporations
office,60,065-Health service corporations
report,60,065-Health service corporations
appropriate,60,065-Health service corporations
review,60,065-Health service corporations
available,60,065-Health service corporations
within,59,065-Health service corporations
employee,59,065-Health service corporations
medical,58,065-Health service corporations
service,284,080-Group insurance (all lines)
care,197,080-Group insurance (all lines)
health,191,080-Group insurance (all lines)
section,142,080-Group insurance (all lines)
provide,115,080-Group insurance (all lines)
medical,83,080-Group insurance (all lines)
pursuant,82,080-Group insurance (all lines)
department,81,080-Group insurance (all lines)
mean,74,080-Group insurance (all lines)
may,69,080-Group insurance (all lines)
arizona,61,080-Group insurance (all lines)
state,57,080-Group insurance (all lines)
pool,57,080-Group insurance (all lines)
program,55,080-Group insurance (all lines)
provider,53,080-Group insurance (all lines)
title,50,080-Group insurance (all lines)
contract,50,080-Group insurance (all lines)
home,50,080-Group insurance (all lines)
member,49,080-Group insurance (all lines)
include,48,080-Group insurance (all lines)
person,47,080-Group insurance (all lines)
primary,45,080-Group insurance (all lines)
physician,45,080-Group insurance (all lines)
chapter,42,080-Group insurance (all lines)
license,42,080-Group insurance (all lines)
director,37,080-Group insurance (all lines)
subsection,37,080-Group insurance (all lines)
act,34,080-Group insurance (all lines)
patient,34,080-Group insurance (all lines)
agency,34,080-Group insurance (all lines)
revised,30,080-Group insurance (all lines)
community,30,080-Group insurance (all lines)
facility,28,080-Group insurance (all lines)
statutes,28,080-Group insurance (all lines)
base,27,080-Group insurance (all lines)
institution,27,080-Group insurance (all lines)
center,27,080-Group insurance (all lines)
establish,26,080-Group insurance (all lines)
require,26,080-Group insurance (all lines)
nurse,26,080-Group insurance (all lines)
insurance,26,080-Group insurance (all lines)
test,25,080-Group insurance (all lines)
behavioral,25,080-Group insurance (all lines)
health,289,300-The policy
insurance,277,300-The policy
section,166,300-The policy
tnc,159,300-The policy
state,147,300-The policy
act,140,300-The policy
arkansas,126,300-The policy
provide,120,300-The policy
commissioner,118,300-The policy
marketplace,113,300-The policy
may,107,300-The policy
person,100,300-The policy
plan,89,300-The policy
coverage,87,300-The policy
driver,85,300-The policy
license,73,300-The policy
subchapter,69,300-The policy
include,65,300-The policy
member,65,300-The policy
rule,65,300-The policy
benefit,63,300-The policy
county,58,300-The policy
board,57,300-The policy
require,55,300-The policy
vehicle,55,300-The policy
care,52,300-The policy
public,52,300-The policy
law,50,300-The policy
use,50,300-The policy
federal,49,300-The policy
department,49,300-The policy
follow,49,300-The policy
program,48,300-The policy
issue,48,300-The policy
service,47,300-The policy
date,47,300-The policy
policy,46,300-The policy
order,45,300-The policy
individual,44,300-The policy
mean,41,300-The policy
one,39,300-The policy
committee,39,300-The policy
entity,38,300-The policy
system,38,300-The policy
employee,36,300-The policy
appoint,35,300-The policy
medical,35,300-The policy
insurer,35,300-The policy
eligible,34,300-The policy
maintain,34,300-The policy
subdivision,34,300-The policy
effective,33,300-The policy
liability,33,300-The policy
business,33,300-The policy
contract,32,300-The policy
code,31,300-The policy
alabama,30,300-The policy
municipality,30,300-The policy
amend,30,300-The policy
employer,29,300-The policy
emergency,29,300-The policy
within,29,300-The policy
section,468,580-Fees and taxes
use,429,580-Fees and taxes
property,332,580-Fees and taxes
state,254,580-Fees and taxes
tax,252,580-Fees and taxes
personal,228,580-Fees and taxes
sale,225,580-Fees and taxes
person,225,580-Fees and taxes
equipment,217,580-Fees and taxes
tangible,181,580-Fees and taxes
include,178,580-Fees and taxes
vehicle,167,580-Fees and taxes
purpose,165,580-Fees and taxes
service,161,580-Fees and taxes
part,147,580-Fees and taxes
provide,142,580-Fees and taxes
subsection,138,580-Fees and taxes
paragraph,136,580-Fees and taxes
machinery,123,580-Fees and taxes
pursuant,123,580-Fees and taxes
qualify,123,580-Fees and taxes
gross,120,580-Fees and taxes
mean,113,580-Fees and taxes
code,113,580-Fees and taxes
article,108,580-Fees and taxes
business,108,580-Fees and taxes
sell,104,580-Fees and taxes
department,104,580-Fees and taxes
purchase,98,580-Fees and taxes
organization,97,580-Fees and taxes
income,97,580-Fees and taxes
define,94,580-Fees and taxes
motor,93,580-Fees and taxes
title,91,580-Fees and taxes
act,91,580-Fees and taxes
sales,91,580-Fees and taxes
fuel,88,580-Fees and taxes
classification,86,580-Fees and taxes
directly,82,580-Fees and taxes
revenue,78,580-Fees and taxes
material,77,580-Fees and taxes
